County,Municipality,USC,STS,STH,Mailed,Not Mailed,Mailing Status
York,Chanceford Twp,11  ,28  ,94  ,221,0,In Progress
Luzerne,Salem Twp,9  ,27  ,117  ,220,5,In Progress
Union,Lewisburg Boro,15  ,23  ,76  ,220,0,In Progress
Bedford,Bedford Boro,13  ,32  ,78  ,220,0,In Progress
Luzerne,Plymouth Boro,8  ,20  ,119  ,219,5,In Progress
Carbon,Palmerton Boro,7  ,29  ,122  ,219,2,In Progress
Schuylkill,Rush Twp,9  ,29  ,124  ,219,2,In Progress
Lebanon,Bethel Twp,9  ,48  ,102  ,219,1,In Progress
Lycoming,South Williamsport,15  ,23  ,83  ,218,2,In Progress
Cambria,Adams Twp,13  ,35  ,71  ,218,1,In Progress
Westmoreland,Irwin,12  ,39  ,56  ,218,1,In Progress
Allegheny,Aspinwall,17  ,38  ,33  ,218,0,In Progress
Adams,Butler Twp,13  ,33  ,193  ,218,0,In Progress
Lawrence,North Beaver Twp,16  ,50  ,9  ,217,3,In Progress
Adams,Union Twp,13  ,33  ,91  ,217,2,In Progress
Schuylkill,Tamaqua Boro,9  ,29  ,124  ,217,2,In Progress
Adams,Carroll Valley,13  ,33  ,91  ,217,0,In Progress
Washington,Monongahela City,14  ,46  ,39  ,216,3,In Progress
Berks,Cumru Twp,6  ,11  ,127  ,216,1,In Progress
Northampton,Wind Gap Boro,7  ,18  ,138  ,216,1,In Progress
Lancaster,New Holland Boro,11  ,36  ,43  ,216,0,In Progress
Washington,Donora Boro,14  ,46  ,48  ,215,2,In Progress
Montgomery,Upper Merion Twp,4  ,17  ,149  ,215,1,In Progress
Mercer,Grove City,16  ,50  ,17  ,214,3,In Progress
Luzerne,Wilkes-Barre Twp,8  ,22  ,121  ,214,3,In Progress
Luzerne,Harveys Lake Boro,8  ,20  ,117  ,214,2,In Progress
Dauphin,Londonderry Twp,10  ,15  ,106   ,214,0,In Progress
Allegheny,Millvale,17  ,42  ,21  ,214,0,In Progress
Cambria,Lower Yoder Twp,13  ,35  ,72  ,212,1,In Progress
Delaware,Morton Boro,5  ,26  ,165  ,212,1,In Progress
Northampton,Bangor Boro,7  ,18  ,138  ,211,1,In Progress
Luzerne,Luzerne Boro,8  ,20  ,120  ,210,2,In Progress
Washington,Mt Pleasant Twp,14  ,46  ,46  ,209,2,In Progress
Washington,Amwell Twp,14  ,46  ,48  ,206,3,In Progress
Luzerne,Newport Twp,8  ,20  ,119  ,206,1,In Progress
Crawford,Sadsbury Twp,16  ,50  ,6  ,206,0,In Progress
Lebanon,Annville Twp,9  ,48  ,102  ,205,3,In Progress
Delaware,Folcroft Boro,5  ,8  ,162  ,205,0,In Progress
Lehigh,Heidelberg,7  ,16  ,187  ,204,2,In Progress
Washington,Smith Twp,14  ,46  ,15  ,203,1,In Progress
Berks,Hamburg Boro,9  ,48  ,124  ,203,0,In Progress
Westmoreland,South Huntingdon Twp,14  ,39  ,58  ,201,1,In Progress
Mifflin,Union Twp,13  ,30  ,171  ,201,0,In Progress
Beaver,Harmony Twp,17  ,47  ,16  ,201,0,In Progress
Adams,Latimore Twp,13  ,33  ,193  ,200,1,In Progress
Butler,Summit Twp,16  ,21  ,11  ,200,1,In Progress
Monroe,Paradise,8  ,40  ,115  ,200,0,In Progress
Delaware,Clifton Heights Boro,5  ,26  ,163  ,199,1,In Progress
Allegheny,Springdal Boro,17  ,38  ,33  ,199,1,In Progress
Snyder,Selinsgrove Boro,15  ,27  ,85  ,199,0,In Progress
Warren,Conewango Twp,15  ,21  ,65  ,199,0,In Progress
Dauphin,Steelton,10  ,15  ,104  ,198,0,In Progress
Berks,Birdsboro Boro,6  ,44  ,128  ,198,0,In Progress
Montgomery,Pennsburg Boro,1  ,24  ,131  ,197,1,In Progress
Philadelphia,Philadelphia,3  ,7  ,198  ,197,0,In Progress
Berks,Sinking Spring Boro,6  ,11  ,129  ,196,1,In Progress
Westmoreland,Delmont,14  ,39  ,55  ,195,6,In Progress
Luzerne,Exeter Twp,8  ,20  ,120  ,195,2,In Progress
Schuylkill,South Manheim Twp,9  ,29  ,124  ,195,0,In Progress
Lackawanna,Newton,8  ,22  ,118  ,195,0,In Progress
Franklin,Greencastle Boro,13  ,33  ,90  ,195,0,In Progress
Mercer,Shenango,16  ,50  ,7  ,195,0,In Progress
Mercer,Farrell,16  ,50  ,7  ,194,1,In Progress
Northumberland,Ralpho Twp,9  ,27  ,107  ,194,0,In Progress
Warren,Pine Grove Twp,15  ,21  ,65  ,194,0,In Progress
Centre,Rush Twp,15  ,35  ,77  ,193,0,In Progress
Berks,Kutztown Boro,4  ,11  ,124  ,193,0,In Progress
Lancaster,East Petersburg Boro,11  ,36  ,96  ,193,0,In Progress
Delaware,Darby Twp,5  ,8  ,162  ,192,0,In Progress
Fayette,Wharton Twp,14  ,32  ,51  ,191,0,In Progress
Mckean,Bradford Twp,15  ,25  ,67  ,190,36,In Progress
Fayette,Masontown Boro,14  ,32  ,51  ,190,0,In Progress
Bedford,West Providence Twp,13  ,32  ,78  ,189,2,In Progress
York,Manheim Twp,11  ,28  ,169  ,189,1,In Progress
Northampton,North Catasauqua,7  ,14  ,183  ,189,0,In Progress
Lehigh,Lowhill,7  ,16  ,183  ,188,5,In Progress
Westmoreland,Trafford,12  ,39  ,56  ,188,2,In Progress
Montour,Danville Boro,9  ,27  ,108  ,188,0,In Progress
Lancaster,Strasburg Twp,11  ,13  ,100  ,188,0,In Progress
Chester,Kennett Square Boro,6  ,9  ,158  ,188,0,In Progress
Allegheny,Tarentum,17  ,38  ,33  ,188,0,In Progress
Berks,Tilden Twp,9  ,48  ,124  ,187,1,In Progress
Indiana,Rayne,14  ,41  ,66  ,187,0,In Progress
Montgomery,Bridgeport Boro,5  ,17  ,149  ,187,0,In Progress
York,Monaghan Twp,10  ,31  ,92  ,187,0,In Progress
Lycoming,Muncy Creek Twp,9  ,23  ,84  ,186,3,In Progress
Fayette,German Twp,14  ,32  ,51  ,186,1,In Progress
Lawrence,Pulaski Twp,16  ,50  ,9  ,186,0,In Progress
Montgomery,Salford Twp,1  ,12  ,131  ,186,0,In Progress
Butler,Slippery Rock Twp,16  ,21  ,17  ,186,0,In Progress
Erie,North East Boro,16  ,49  ,4  ,186,0,In Progress
Indiana,Blairsville,14  ,41  ,62  ,185,1,In Progress
Perry,Penn Twp,13  ,34  ,86  ,185,0,In Progress
Allegheny,Port Vue,12  ,45  ,35  ,184,2,In Progress
Carbon,Franklin Twp,7  ,29  ,122  ,184,1,In Progress
Beaver,Daugherty Twp,17  ,47  ,14  ,184,1,In Progress
Monroe,Mt Pocono Boro,8  ,40  ,115  ,184,0,In Progress
Lancaster,Cocalico West Twp,11  ,48  ,99  ,183,0,In Progress
Indiana,Armstrong,14  ,41  ,62  ,183,0,In Progress
Juniata,Fermanagh,13  ,30  ,86  ,183,0,In Progress
Elk,Fox Twp,15  ,25  ,75  ,183,0,In Progress
Lehigh,Coopersburg,7  ,16  ,131  ,183,0,In Progress
York,Paradise Twp,11  ,28  ,196  ,182,10,In Progress
Allegheny,Forward,12  ,45  ,39  ,182,1,In Progress
Dauphin,Conewago Twp,10  ,15  ,106   ,182,1,In Progress
Armstrong,Kiskiminetas Twp,15  ,41  ,60  ,182,0,In Progress
Dauphin,Upper Paxton Twp,10  ,34  ,125  ,181,3,In Progress
Armstrong,Manor Twp,15  ,41  ,60  ,181,1,In Progress
Schuylkill,Butler Twp,9  ,29  ,123  ,181,1,In Progress
Lehigh,Coplay,7  ,14  ,133  ,181,0,In Progress
Bucks,Tullytown Boro,1  ,10  ,140  ,181,0,In Progress
Beaver,New Brighton Boro,17  ,47  ,14  ,181,0,In Progress
York,Red Lion Boro,11  ,28  ,94  ,181,0,In Progress
Beaver,South Beaver Twp,17  ,47  ,15  ,181,0,In Progress
Lebanon,Millcreek Twp,9  ,48  ,102  ,180,1,In Progress
Lebanon,West Cornwall Twp,9  ,48  ,101  ,180,0,In Progress
Bedford,East St Clair Twp,13  ,32  ,78  ,179,1,In Progress
Clarion,Clarion Boro,15  ,21  ,63  ,179,0,In Progress
Perry,Wheatfield Twp,13  ,34  ,86  ,178,2,In Progress
York,North Hopewell Twp,11  ,28  ,93  ,178,1,In Progress
Lycoming,Montoursville Boro,9  ,23  ,84  ,178,1,In Progress
Greene,Jefferson Twp,14  ,46  ,50  ,178,0,In Progress
Lancaster,Martic Twp,11  ,13  ,100  ,178,0,In Progress
Berks,West Reading Boro,6  ,11  ,129  ,177,2,In Progress
Centre,Gregg Twp,15  ,25  ,171  ,177,1,In Progress
Berks,Caernarvon Twp,6  ,13  ,128  ,177,1,In Progress
Lackawanna,Madison,8  ,40  ,113  ,177,0,In Progress
Lackawanna,Roaring Brook,8  ,40  ,113  ,177,0,In Progress
Erie,Springfield Twp,16  ,49  ,6  ,177,0,In Progress
Jefferson,Brookville Boro,15  ,25  ,66  ,177,0,In Progress
Chester,East Nantmeal Twp,6  ,44  ,26  ,176,1,In Progress
Tioga,Wellsboro Boro,15  ,23  ,68  ,176,0,In Progress
Allegheny,Cheswick,17  ,38  ,33  ,176,0,In Progress
Northampton,Pen Argyl Boro,7  ,18  ,138  ,175,1,In Progress
Franklin,Montgomery Twp,13  ,33  ,90  ,175,0,In Progress
Lehigh,Slatington,7  ,16  ,183  ,174,5,In Progress
Northumberland,Sunbury City,9  ,27  ,108  ,174,3,In Progress
Adams,Hamilton Twp,13  ,33  ,193  ,174,1,In Progress
Susquehanna,Bridgewater Twp,9  ,20  ,111  ,173,1,In Progress
Westmoreland,Youngwood,14  ,39  ,57  ,173,0,In Progress
Butler,Clinton Twp,16  ,21  ,11  ,173,0,In Progress
Lancaster,Earl Twp,11  ,13  ,99  ,173,0,In Progress
Northampton,Bath Boro,7  ,14  ,183  ,172,3,In Progress
Mercer,West Salem,16  ,50  ,7  ,172,3,In Progress
Allegheny,Emsworth,17  ,42  ,30  ,172,2,In Progress
Berks,Greenwich Twp,4  ,48  ,124  ,172,0,In Progress
Allegheny,Braddock Hills,17  ,43  ,34  ,171,4,In Progress
Lancaster,Elizabeth Twp,11  ,36  ,37  ,171,0,In Progress
Clinton,Woodward Twp,15  ,25  ,76  ,171,0,In Progress
Montgomery,West Pottsgrove Twp,4  ,24  ,146  ,171,0,In Progress
Blair,Tyrone Boro,13  ,30  ,80  ,170,1,In Progress
Allegheny,Edgeworth,17  ,37  ,44  ,170,1,In Progress
Elk,Ridgway Boro,15  ,25  ,75  ,170,1,In Progress
Bedford,Napier Twp,13  ,32  ,78  ,170,0,In Progress
Berks,Richmond Twp,4  ,11  ,130  ,169,2,In Progress
Venango,Cornplanter Twp,15  ,21  ,64  ,169,0,In Progress
Erie,Waterford Twp,16  ,49  ,4  ,169,0,In Progress
Somerset,Jenner Twp,14  ,32  ,69  ,168,2,In Progress
Franklin,St Thomas Twp,13  ,33  ,81  ,168,0,In Progress
Indiana,Burrell,14  ,41  ,62  ,168,0,In Progress
Berks,Lower Heidelberg Twp,9  ,48  ,5  ,167,3,In Progress
Butler,Franklin Twp,16  ,21  ,8  ,167,0,In Progress
Butler,Seven Fields Boro,16  ,47  ,12  ,167,0,In Progress
Lackawanna,Moscow,8  ,40  ,113  ,167,0,In Progress
Mercer,Hempfield,16  ,50  ,7  ,167,0,In Progress
Westmoreland,South Greensburg,14  ,39  ,57  ,166,1,In Progress
Mercer,Greenville,16  ,50  ,7  ,166,1,In Progress
Berks,Fleetwood Boro,4  ,11  ,130  ,166,1,In Progress
Berks,Windsor Twp,9  ,48  ,124  ,166,0,In Progress
Allegheny,Baldwin Twp,17  ,45  ,42  ,166,0,In Progress
Lancaster,Manheim Boro,11  ,36  ,37  ,166,0,In Progress
Cumberland,Shippensburg Boro,13  ,34  ,193  ,166,0,In Progress
Lancaster,Conestoga Twp,11  ,13  ,97  ,166,0,In Progress
Clinton,Pine Creek Twp,15  ,25  ,76  ,165,0,In Progress
Armstrong,East Franklin Twp,15  ,41  ,60  ,165,0,In Progress
Beaver,Ohioville Boro,17  ,47  ,15  ,165,0,In Progress
Washington,Centerville Boro,14  ,46  ,50  ,165,0,In Progress
Westmoreland,Arnold,14  ,41  ,55  ,164,7,In Progress
Luzerne,Ross Twp,9  ,20  ,117  ,164,3,In Progress
Washington,South Franklin Twp,14  ,46  ,48  ,164,2,In Progress
Luzerne,Laflin Boro,8  ,22  ,118  ,164,2,In Progress
Warren,Pleasant Twp,15  ,21  ,65  ,164,0,In Progress
Blair,Taylor Twp,13  ,30  ,80  ,164,0,In Progress
Fayette,Perry Twp,14  ,32  ,52  ,164,0,In Progress
Wayne,Berlin Twp,8  ,20  ,111  ,164,0,In Progress
Northumberland,Coal Twp,9  ,27  ,107  ,163,5,In Progress
Luzerne,Dorrance Twp,9  ,27  ,117  ,163,4,In Progress
Somerset,Windber Boro,14  ,32  ,71  ,163,1,In Progress
Allegheny,Springdal Twp,17  ,38  ,33  ,163,0,In Progress
Allegheny,Sharpsburg,17  ,38  ,33  ,163,0,In Progress
Berks,Mohnton Boro,6  ,11  ,99  ,163,0,In Progress
Schuylkill,Minersville Boro,9  ,29  ,123  ,163,0,In Progress
Chester,South Coventry Twp,6  ,44  ,26  ,162,1,In Progress
Monroe,Eldred,7  ,40  ,176  ,162,0,In Progress
Chester,Spring City Boro,6  ,44  ,26  ,162,0,In Progress
Allegheny,Crescent,17  ,37  ,44  ,161,0,In Progress
Schuylkill,Schuylkill Haven Boro,9  ,29  ,123  ,161,0,In Progress
York,Codorus Twp,11  ,28  ,169  ,161,0,In Progress
Beaver,Hanover Twp,17  ,46  ,15  ,160,1,In Progress
Allegheny,Etna,17  ,38  ,21  ,160,1,In Progress
Lycoming,Wolf Twp,9  ,23  ,84  ,160,0,In Progress
Cambria,Geistown Boro,13  ,35  ,71  ,159,2,In Progress
Montgomery,Rockledge Boro,4  ,4  ,153  ,159,0,In Progress
Dauphin,Halifax Twp,10  ,34  ,125  ,159,0,In Progress
Lackawanna,Clarks Green,8  ,22  ,114  ,158,0,In Progress
Montgomery,Telford Boro,1  ,12  ,53  ,157,1,In Progress
Westmoreland,Vandergrift,14  ,41  ,60  ,157,0,In Progress
Allegheny,Brackenridge,17  ,38  ,33  ,156,3,In Progress
Montgomery,Hatfield Boro,1  ,12  ,53  ,156,0,In Progress
Schuylkill,Frackville Boro,9  ,29  ,123  ,156,0,In Progress
Lancaster,Akron Boro,11  ,36  ,43  ,156,0,In Progress
Chester,Warwick Twp,6  ,44  ,26  ,155,1,In Progress
Union,White Deer Twsp,15  ,23  ,83  ,155,1,In Progress
Montour,Valley Twp,9  ,27  ,108  ,155,0,In Progress
Bedford,Snake Spring Twp,13  ,32  ,78  ,154,0,In Progress
Cambria,Stonycreek Twp,13  ,35  ,71  ,154,0,In Progress
Westmoreland,West Newton,14  ,39  ,58  ,154,0,In Progress
Beaver,Raccoon Twp,17  ,47  ,15  ,153,1,In Progress
Lancaster,Mountville Boro,11  ,36  ,41  ,153,0,In Progress
Perry,Carroll Twp,13  ,34  ,86  ,153,0,In Progress
Westmoreland,Ligonier,14  ,41  ,59  ,153,0,In Progress
Carbon,Nesquehoning Boro,7  ,29  ,122  ,153,0,In Progress
Mckean,Bradford City,15  ,25  ,67  ,152,24,In Progress
Lancaster,Drumore East Twp,11  ,13  ,100  ,152,0,In Progress
Schuylkill,Orwigsburg Boro,9  ,29  ,124  ,152,0,In Progress
Chester,Lower Oxford Twp,6  ,19  ,13  ,152,0,In Progress
Lycoming,Fairfield Twp,9  ,23  ,84  ,151,2,In Progress
Luzerne,Conyngham Boro,9  ,27  ,117  ,151,1,In Progress
Fayette,Springhill Twp,14  ,32  ,51  ,151,0,In Progress
Allegheny,Ben Avon,17  ,42  ,30  ,151,0,In Progress
Schuylkill,Washington Twp,9  ,29  ,107  ,151,0,In Progress
Lehigh,Allentown,7  ,16  ,134  ,151,0,In Progress
Luzerne,Ashley Boro,8  ,20  ,119  ,150,1,In Progress
Washington,California Boro,14  ,46  ,50  ,150,1,In Progress
Tioga,Delmar Twp,15  ,23  ,68  ,150,1,In Progress
Berks,Boyertown Boro,4  ,24  ,130  ,150,0,In Progress
Luzerne,Freeland Boro,8  ,29  ,117  ,149,4,In Progress
Luzerne,Foster Twp,8  ,29  ,117  ,149,4,In Progress
Lawrence,Slippery Rock Twp,16  ,50  ,8  ,149,0,In Progress
Berks,Laureldale Boro,4  ,11  ,126  ,148,1,In Progress
York,Peach Bottom Twp,11  ,28  ,94  ,148,1,In Progress
Allegheny,West Homestead,12  ,45  ,35  ,148,1,In Progress
Allegheny,Homestead,12  ,45  ,35  ,148,0,In Progress
Union,Mifflinburg Boro,15  ,23  ,76  ,148,0,In Progress
Fayette,Saltlick Twp,14  ,32  ,52  ,148,0,In Progress
Delaware,Chester Twp,5  ,9  ,161  ,147,1,In Progress
Washington,Somerset Twp,14  ,46  ,48  ,147,1,In Progress
Montgomery,East Greenville Boro,1  ,24  ,131  ,147,0,In Progress
York,Heidelberg Twp,11  ,28  ,196  ,146,7,In Progress
Allegheny,Verona,17  ,43  ,32  ,145,1,In Progress
Dauphin,Millersburg,10  ,34  ,125  ,145,0,In Progress
Erie,Venango Twp,16  ,49  ,4  ,145,0,In Progress
Beaver,Rochester Twp,17  ,47  ,16  ,145,0,In Progress
Mercer,South Pymatuning,16  ,50  ,7  ,144,3,In Progress
Lancaster,Denver Boro,11  ,48  ,99  ,144,0,In Progress
Clinton,Lamar Twp,15  ,25  ,76  ,144,0,In Progress
Berks,Ontelaunee Twp,4  ,48  ,5  ,144,0,In Progress
Cambria,Southmont Boro,13  ,35  ,72  ,143,1,In Progress
Cambria,Ncambria Boro,13  ,35  ,73  ,143,0,In Progress
Carbon,Lower Towamensing Twp,7  ,29  ,122  ,143,0,In Progress
Carbon,Summit Hill Boro,7  ,29  ,122  ,143,0,In Progress
Dauphin,Lower Swatara Twp,10  ,15  ,104  ,142,2,In Progress
Crawford,South Shenango Twp,16  ,50  ,6  ,142,2,In Progress
Northumberland,Mt Carmel Boro,9  ,27  ,107  ,142,2,In Progress
Lancaster,Salisbury Twp,11  ,13  ,100  ,142,0,In Progress
Chester,Parkesburg Boro,6  ,44  ,74  ,142,0,In Progress
Franklin,Peters Twp,13  ,33  ,90  ,142,0,In Progress
Cambria,East Taylor Twp,13  ,35  ,72  ,142,0,In Progress
Perry,Centre Twp,13  ,34  ,86  ,141,1,In Progress
Mercer,Coolspring,16  ,50  ,17  ,141,1,In Progress
Berks,Womelsdorf Boro,9  ,48  ,5  ,141,1,In Progress
Bucks,Langhorne Boro,1  ,6  ,142  ,141,0,In Progress
Butler,Clearfield Twp,16  ,21  ,11  ,141,0,In Progress
York,Washington Twp,10  ,31  ,92  ,140,0,In Progress
Blair,Freedom Twp,13  ,30  ,80  ,140,0,In Progress
Berks,Penn Twp,9  ,48  ,5  ,140,0,In Progress
Elk,Jay Twp,15  ,25  ,75  ,140,0,In Progress
Mckean,Foster Twp,15  ,25  ,67  ,139,26,In Progress
Venango,Sandycreek Twp,16  ,21  ,64  ,139,0,In Progress
Indiana,Green,14  ,41  ,66  ,139,0,In Progress
Cumberland,Penn Twp,10  ,34  ,193  ,139,0,In Progress
Beaver,Midland Boro,17  ,47  ,15  ,139,0,In Progress
Juniata,Fayette,13  ,30  ,85  ,139,0,In Progress
Bradford,Towanda Twp,9  ,23  ,68  ,139,0,In Progress
Clearfield,Pike Twp,15  ,35  ,75  ,139,0,In Progress
Carbon,East Penn Twp,7  ,29  ,122  ,138,1,In Progress
Northumberland,Point Twp,9  ,27  ,108  ,138,1,In Progress
Bucks,Penndel Boro,1  ,6  ,142  ,138,0,In Progress
Perry,Rye Twp,13  ,34  ,86  ,138,0,In Progress
Union,West Buffalo,15  ,23  ,76  ,138,0,In Progress
Westmoreland,Upper Burrell Twp,14  ,41  ,55  ,138,0,In Progress
Chester,Elverson Boro,6  ,44  ,26  ,137,1,In Progress
Erie,Wesleyville Boro,16  ,49  ,2  ,137,0,In Progress
Wayne,Texas Twp,8  ,40  ,111  ,137,0,In Progress
Delaware,Rose Valley Boro,5  ,9  ,161  ,137,0,In Progress
Lebanon,East Hanover Twp,9  ,48  ,102  ,137,0,In Progress
Carbon,Lansford Boro,7  ,29  ,122  ,136,2,In Progress
Centre,Boggs Twp,15  ,25  ,82  ,136,1,In Progress
Fayette,Franklin Twp,14  ,32  ,52  ,136,0,In Progress
Westmoreland,Cook Twp,14  ,39  ,59  ,135,7,In Progress
Luzerne,Plymouth Twp,8  ,20  ,119  ,135,3,In Progress
Butler,Slippery Rock Boro,16  ,21  ,17  ,135,1,In Progress
Clarion,Clarion Twp,15  ,21  ,63  ,135,0,In Progress
Lackawanna,Waverly,8  ,22  ,114  ,135,0,In Progress
Lehigh,Alburtis,7  ,16  ,187  ,135,0,In Progress
Berks,Marion Twp,9  ,48  ,5  ,134,0,In Progress
Allegheny,Fawn,17  ,38  ,33  ,133,2,In Progress
Allegheny,Liberty,12  ,45  ,35  ,133,1,In Progress
Beaver,Conway,17  ,47  ,16  ,133,0,In Progress
Schuylkill,St Clair Boro,9  ,29  ,123  ,133,0,In Progress
Columbia,Briarcreek Twp,9  ,27  ,109  ,133,0,In Progress
Berks,Hereford Twp,4  ,24  ,130  ,133,0,In Progress
York,Dillsburg Boro,10  ,31  ,92  ,132,0,In Progress
Washington,Charleroi Boro,14  ,46  ,50  ,131,3,In Progress
Berks,Jefferson Twp,9  ,48  ,5  ,131,1,In Progress
Luzerne,Black Creek Twp,9  ,27  ,117  ,131,1,In Progress
Cameron,Shippen Twp,15  ,25  ,67  ,131,1,In Progress
Lackawanna,Jermyn,8  ,40  ,112  ,131,0,In Progress
Berks,Earl Twp,4  ,24  ,130  ,131,0,In Progress
Cumberland,Wormleysburg Boro,10  ,34  ,103  ,131,0,In Progress
Blair,Snyder Twp,13  ,30  ,80  ,130,2,In Progress
Luzerne,Union Twp,9  ,20  ,117  ,130,2,In Progress
Berks,Bethel Twp,9  ,48  ,5  ,130,0,In Progress
Lebanon,Heidelberg Twp,9  ,48  ,102  ,130,0,In Progress
Lackawanna,Benton,8  ,22  ,114  ,129,0,In Progress
Westmoreland,Derry Twp,14  ,41  ,55  ,128,7,In Progress
Washington,Bentleyville Boro,14  ,46  ,50  ,128,4,In Progress
Northumberland,Milton Boro,9  ,27  ,108  ,128,2,In Progress
Lawrence,Wilmington Twp,16  ,50  ,9  ,128,0,In Progress
Cambria,Conemaugh Twp,13  ,35  ,72  ,127,1,In Progress
Chester,West Fallowfield Twp,6  ,19  ,13  ,127,0,In Progress
Schuylkill,Norwegian Twp,9  ,29  ,123  ,126,1,In Progress
Armstrong,Kittanning Boro,15  ,41  ,63  ,126,0,In Progress
York,Manchester Boro,10  ,31  ,47  ,126,0,In Progress
Clearfield,Curwensville Boro,15  ,35  ,75  ,126,0,In Progress
Erie,Elk Creek Twp,16  ,49  ,6  ,126,0,In Progress
Beaver,Rochester Boro,17  ,47  ,16  ,125,1,In Progress
Cambria,Nanty Glo Boro,13  ,35  ,72  ,125,0,In Progress
Luzerne,Hughestown Boro,8  ,22  ,118  ,125,0,In Progress
Chester,West Nantmeal Twp,6  ,44  ,26  ,125,0,In Progress
Lancaster,Leacock Twp,11  ,13  ,43  ,125,0,In Progress
Bucks,Dublin Boro,1  ,16  ,143  ,125,0,In Progress
Westmoreland,Bell Twp,14  ,41  ,55  ,124,5,In Progress
Adams,Berwick Twp,13  ,33  ,193  ,124,1,In Progress
Allegheny,Mt Oliver,12  ,43  ,36  ,124,1,In Progress
Adams,Mcsherrystown,13  ,33  ,91  ,124,0,In Progress
Wayne,Mt Pleasant Twp,8  ,20  ,111  ,124,0,In Progress
Lancaster,Caernarvon Twp,11  ,13  ,99  ,124,0,In Progress
Perry,Spring Twp,13  ,34  ,86  ,124,0,In Progress
Chester,West Sadsbury Twp,6  ,44  ,74  ,124,0,In Progress
Allegheny,Bell Acres,17  ,37  ,44  ,123,1,In Progress
Lebanon,Union Twp,9  ,48  ,102  ,123,0,In Progress
Lackawanna,Greenfield,8  ,22  ,114  ,123,0,In Progress
Luzerne,West Hazleton Boro,8  ,29  ,116  ,122,3,In Progress
Lycoming,Hepburn Twp,15  ,23  ,84  ,122,1,In Progress
Cambria,Cresson Twp,13  ,35  ,71  ,122,0,In Progress
Cambria,Allegheny Twp,13  ,35  ,71  ,122,0,In Progress
Lackawanna,Mayfield,8  ,40  ,112  ,122,0,In Progress
Lancaster,Strasburg Boro,11  ,13  ,100  ,121,1,In Progress
Jefferson,Snyder Twp,15  ,25  ,66  ,121,1,In Progress
Northampton,Walnutport Boro,7  ,14  ,183  ,121,0,In Progress
Wayne,Lehigh Twp,8  ,40  ,139  ,121,0,In Progress
Beaver,Patterson Twp,17  ,47  ,14  ,119,1,In Progress
Greene,Waynesburg Boro,14  ,46  ,50  ,119,1,In Progress
Somerset,Shade Twp,14  ,32  ,69  ,119,0,In Progress
Schuylkill,Hegins Twp,9  ,29  ,107  ,119,0,In Progress
Indiana,Conemaugh,14  ,41  ,62  ,119,0,In Progress
Columbia,Mifflin Twp,9  ,27  ,109  ,119,0,In Progress
Schuylkill,West Mahanoy Twp,9  ,29  ,123  ,119,0,In Progress
Northampton,Freemansburg,7  ,18  ,136  ,118,1,In Progress
Allegheny,Leet,17  ,37  ,44  ,118,1,In Progress
Erie,Lake City Boro,16  ,49  ,4  ,118,0,In Progress
Allegheny,Bradfordwood,17  ,37  ,28  ,118,0,In Progress
Bucks,Durham Twp,1  ,16  ,145  ,118,0,In Progress
Pike,Milford Twp,8  ,20  ,139  ,118,0,In Progress
Lackawanna,Covington,8  ,40  ,113  ,118,0,In Progress
Butler,Oakland Twp,16  ,21  ,11  ,118,0,In Progress
Perry,Marysville Boro,13  ,34  ,86  ,117,1,In Progress
Lehigh,Salisbury,7  ,14  ,131  ,117,1,In Progress
Delaware,Tinicum Twp,5  ,8  ,185  ,117,1,In Progress
Wayne,Clinton Twp,8  ,20  ,111  ,117,0,In Progress
Crawford,Woodcock Twp,16  ,50  ,65  ,117,0,In Progress
Lebanon,North Annville Twp,9  ,48  ,102  ,117,0,In Progress
Mifflin,Armagh Twp,13  ,30  ,171  ,117,0,In Progress
Luzerne,Franklin Twp,8  ,20  ,120  ,116,4,In Progress
Luzerne,Hunlock Twp,9  ,20  ,117  ,116,1,In Progress
Susquehanna,Clifford Twp,9  ,20  ,111  ,116,1,In Progress
Fayette,Perryopolis Boro,14  ,32  ,52  ,116,0,In Progress
Armstrong,Gilpin Twp,15  ,41  ,60  ,116,0,In Progress
Mercer,Delaware,16  ,50  ,17  ,116,0,In Progress
Lancaster,Little Britain Twp,11  ,13  ,100  ,115,0,In Progress
Adams,Hamiltonban Twp,13  ,33  ,91  ,115,0,In Progress
Westmoreland,North Belle Vernon,14  ,39  ,58  ,114,1,In Progress
Somerset,Paint Twp,14  ,32  ,71  ,114,0,In Progress
Allegheny,East Mckeesport,12  ,45  ,25  ,114,0,In Progress
Potter,Coudersport,15  ,25  ,67  ,113,1,In Progress
Huntingdon,Walker Twp,13  ,30  ,81  ,113,0,In Progress
Montgomery,West Conshohocken Boro,4  ,17  ,149  ,113,0,In Progress
Butler,Saxonburg Boro,16  ,21  ,11  ,113,0,In Progress
Columbia,Hemlock Twp,9  ,27  ,109  ,113,0,In Progress
Columbia,North Centre,9  ,27  ,109  ,113,0,In Progress
Lawrence,Mahoning Twp,16  ,50  ,9  ,112,2,In Progress
Mercer,Pymatuning,16  ,50  ,7  ,112,1,In Progress
Allegheny,Dravosburg,12  ,45  ,38  ,112,1,In Progress
York,East Hopewell Twp,11  ,28  ,93  ,112,1,In Progress
Wayne,Cherry Ridge Twp,8  ,40  ,139  ,112,0,In Progress
Crawford,North Shenango Twp,16  ,50  ,6  ,112,0,In Progress
